City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,Quelimane,-17.8786,36.8883,78.75,89,20,6.91,MZ,2022-11-16 19:44:51
293,Mashhad,36.297,59.6062,42.94,75,0,0.0,IR,2022-11-16 19:44:52
294,Mindelo,16.8901,-24.9804,78.35,65,20,18.41,CV,2022-11-16 19:44:52
295,Sumenep,-7.0167,113.8667,80.08,83,100,3.42,ID,2022-11-16 19:44:52
296,Dikson,73.5069,80.5464,-6.9,100,100,7.81,RU,2022-11-16 19:44:53
297,Port Hedland,-20.3167,118.5667,71.65,88,100,9.22,AU,2022-11-16 19:44:53
298,Kurilsk,45.2333,147.8833,37.42,64,94,21.18,RU,2022-11-16 19:44:53
299,Diapaga,12.0708,1.7889,77.09,19,37,6.35,BF,2022-11-16 19:44:53
300,Port Elizabeth,-33.918,25.5701,62.31,89,40,5.75,ZA,2022-11-16 19:44:54
301,Coquimbo,-29.9533,-71.3436,64.13,77,40,14.97,CL,2022-11-16 19:44:54
302,Puerto Ayora,-0.7393,-90.3518,78.76,86,64,7.0,EC,2022-11-16 19:44:54
303,Preobrazheniye,42.9019,133.9064,35.64,56,6,5.26,RU,2022-11-16 19:44:54
304,Flinders,-34.5833,150.8552,50.05,84,3,9.17,AU,2022-11-16 19:44:55
305,Mogadishu,2.0371,45.3438,79.56,82,1,13.04,SO,2022-11-16 19:44:55
306,Fort Nelson,58.8053,-122.7002,22.95,54,40,3.0,CA,2022-11-16 19:41:48
307,Zhanaozen,43.3,52.8,40.08,51,100,18.99,KZ,2022-11-16 19:44:55
308,Clearlake,38.9582,-122.6264,68.34,18,0,3.04,US,2022-11-16 19:44:56
309,Ostrovnoy,68.0531,39.5131,32.94,80,97,1.45,RU,2022-11-16 19:44:56
310,Banff,51.1762,-115.5698,22.23,86,100,1.14,CA,2022-11-16 19:44:56
311,Bumba,2.1833,22.4667,73.8,84,93,0.51,CD,2022-11-16 19:44:56
312,Daru,-9.0763,143.2092,79.63,88,100,8.37,PG,2022-11-16 19:44:57
313,Havre-Saint-Pierre,50.2334,-63.5986,30.2,80,100,2.3,CA,2022-11-16 19:43:38
314,Zalari,53.5584,102.5065,23.31,76,23,2.51,RU,2022-11-16 19:44:57
315,Montmagny,48.9734,2.3469,54.84,93,100,26.46,FR,2022-11-16 19:44:57
316,Burgersdorp,-30.9977,26.3286,65.5,26,46,5.82,ZA,2022-11-16 19:44:58
317,Sao Joao De Pirabas,-0.7747,-47.1772,82.27,67,97,7.7,BR,2022-11-16 19:44:58
318,La Asuncion,11.0333,-63.8628,87.53,70,100,16.11,VE,2022-11-16 19:44:58
319,Sarkand,45.41,79.9186,26.65,83,100,7.74,KZ,2022-11-16 19:44:58
320,Beyneu,45.3167,55.2,33.15,61,100,14.09,KZ,2022-11-16 19:44:59
321,Laurel,39.0993,-76.8483,51.85,57,40,19.57,US,2022-11-16 19:41:15
322,Tucuman,-26.8241,-65.2226,98.6,22,0,25.32,AR,2022-11-16 19:45:59
323,Cherskiy,68.75,161.3,-0.58,91,100,12.82,RU,2022-11-16 19:45:59
324,College,64.8569,-147.8028,8.98,84,20,0.0,US,2022-11-16 19:46:00
325,Chicama,-7.8447,-79.1469,63.14,60,39,10.83,PE,2022-11-16 19:46:00
326,Davenda,53.5556,119.317,14.81,95,100,1.59,RU,2022-11-16 19:46:00
327,Rorvik,64.8621,11.2373,41.11,45,0,6.91,NO,2022-11-16 19:46:00
328,Sao Filipe,14.8961,-24.4956,78.19,66,49,7.05,CV,2022-11-16 19:44:14
329,Taitung,22.7583,121.1444,74.98,82,33,4.32,TW,2022-11-16 19:46:01
330,Marsh Harbour,26.5412,-77.0636,79.56,74,25,4.07,BS,2022-11-16 19:46:01
331,Along,28.1667,94.7667,55.08,73,35,1.41,IN,2022-11-16 19:46:01
332,Irmo,34.086,-81.1832,56.73,73,75,6.91,US,2022-11-16 19:46:02
333,Shingu,33.7333,135.9833,50.25,77,11,5.66,JP,2022-11-16 19:46:02
334,Tuatapere,-46.1333,167.6833,56.55,95,100,1.45,NZ,2022-11-16 19:46:03
335,Miranda De Ebro,42.6865,-2.947,60.15,77,100,18.12,ES,2022-11-16 19:46:04
336,Bela,25.9333,81.9833,68.61,54,0,4.52,IN,2022-11-16 19:46:04
337,San Francisco Del Rincon,21.0167,-101.85,78.66,21,0,4.81,MX,2022-11-16 19:46:04
338,Zharkent,44.1628,80.0,37.45,76,100,20.45,KZ,2022-11-16 19:46:05
339,Nouadhibou,20.931,-17.0347,80.58,39,0,12.66,MR,2022-11-16 19:42:25
340,Dorado,18.4588,-66.2677,85.17,86,6,13.89,PR,2022-11-16 19:46:05
341,North Bend,43.4065,-124.2243,59.16,67,0,5.75,US,2022-11-16 19:42:21
342,Barranca,-10.75,-77.7667,67.59,74,66,10.56,PE,2022-11-16 19:46:06
343,Haukipudas,65.1765,25.3523,30.25,68,49,1.68,FI,2022-11-16 19:46:06
344,Xichang,27.8964,102.2634,46.35,79,1,2.1,CN,2022-11-16 19:46:07
345,Yulara,-25.2406,130.9889,62.4,80,38,9.69,AU,2022-11-16 19:46:07
346,Olinda,-8.0089,-34.8553,82.13,65,20,9.22,BR,2022-11-16 19:46:07
347,Ereymentau,51.6199,73.1033,16.36,90,100,17.85,KZ,2022-11-16 19:46:08
348,Puerto Narino,-3.7703,-70.3831,82.62,77,94,3.71,CO,2022-11-16 19:46:08
349,Cabo San Lucas,22.8909,-109.9124,84.51,58,97,1.99,MX,2022-11-16 19:42:44
350,Cooma,-36.2333,149.1333,37.54,81,13,6.06,AU,2022-11-16 19:46:09
351,Cap Malheureux,-19.9842,57.6142,70.47,66,3,3.0,MU,2022-11-16 19:46:09
352,Ambilobe,-13.2,49.05,74.68,85,100,2.84,MG,2022-11-16 19:46:09
353,Oranzherei,45.8476,47.5663,45.91,92,100,15.19,RU,2022-11-16 19:46:10
354,Mount Isa,-20.7333,139.5,71.37,26,59,12.66,AU,2022-11-16 19:46:10
355,Maputo,-25.9653,32.5892,76.68,73,75,11.5,MZ,2022-11-16 19:46:11
356,Anloga,5.7947,0.8973,81.77,76,12,10.51,GH,2022-11-16 19:46:12
357,Hami,42.8,93.45,36.45,39,100,2.86,CN,2022-11-16 19:46:12
358,Pundaguitan,6.3711,126.1689,76.41,95,100,14.25,PH,2022-11-16 19:46:13
359,Rundu,-17.9333,19.7667,79.16,31,0,6.4,NA,2022-11-16 19:46:14
360,Saint Anthony,45.0205,-93.218,33.4,85,100,10.36,US,2022-11-16 19:46:14
361,Vestmannaeyjar,63.4427,-20.2734,47.48,83,100,36.24,IS,2022-11-16 19:42:41
362,Kaele,10.1092,14.4508,80.06,26,66,8.75,CM,2022-11-16 19:46:14
363,Bosaso,11.2842,49.1816,77.7,69,0,5.08,SO,2022-11-16 19:46:15
364,Caravelas,-17.7125,-39.2481,75.33,91,100,6.78,BR,2022-11-16 19:46:15
365,Laela,-8.5667,32.05,69.6,64,100,3.74,TZ,2022-11-16 19:46:17
366,Alexandria,31.2156,29.9553,61.34,64,0,6.96,EG,2022-11-16 19:45:16
367,Zhanakorgan,43.9098,67.2495,30.2,64,0,9.1,KZ,2022-11-16 19:47:17
368,Kushima,31.4583,131.2333,53.11,58,100,4.74,JP,2022-11-16 19:47:18
369,Champerico,14.3,-91.9167,84.58,66,77,5.23,GT,2022-11-16 19:47:18
370,Severo-Kurilsk,50.6789,156.125,31.73,68,58,3.8,RU,2022-11-16 19:47:18
371,Amboasary,-25.0333,46.3833,72.5,87,15,2.84,MG,2022-11-16 19:47:19
372,Loandjili,-4.7561,11.8578,76.91,79,100,6.53,CG,2022-11-16 19:47:19
373,Mugumu,-1.85,34.7,64.89,83,100,1.7,TZ,2022-11-16 19:47:19
374,Shar,49.5886,81.0453,23.32,64,11,15.79,KZ,2022-11-16 19:47:20
375,Canico,32.6333,-16.85,72.72,87,40,4.61,PT,2022-11-16 19:47:20
376,Pangnirtung,66.1451,-65.7125,-2.11,84,90,3.29,CA,2022-11-16 19:47:20
377,Morehead,37.2711,-87.1764,44.35,39,100,9.22,US,2022-11-16 19:47:21
378,Talnakh,69.4865,88.3972,-23.62,98,29,6.13,RU,2022-11-16 19:47:21
379,San Cristobal,7.7669,-72.225,78.98,51,90,4.5,VE,2022-11-16 19:47:21
380,Talara,-4.5772,-81.2719,79.56,61,0,13.8,PE,2022-11-16 19:47:21
381,Grand-Lahou,5.1367,-5.0242,78.39,82,96,6.89,CI,2022-11-16 19:47:22
382,Praia Da Vitoria,38.7333,-27.0667,64.76,88,75,8.1,PT,2022-11-16 19:43:00
383,Najran,17.4924,44.1277,65.05,27,0,1.54,SA,2022-11-16 19:47:22
384,Arua,3.0201,30.9111,64.63,92,100,2.17,UG,2022-11-16 19:47:22
385,Gewane,10.1664,40.6453,77.07,38,0,10.0,ET,2022-11-16 19:47:23
386,Muswellbrook,-32.2667,150.9,43.25,69,0,2.51,AU,2022-11-16 19:45:23
387,Natal,-5.795,-35.2094,84.85,65,40,16.11,BR,2022-11-16 19:47:10
388,Kieta,-6.2167,155.6333,78.94,77,100,1.39,PG,2022-11-16 19:47:23
389,Bira,49.0,132.4667,16.41,97,94,3.09,RU,2022-11-16 19:47:24
390,Jaora,23.6333,75.1333,64.9,36,0,8.28,IN,2022-11-16 19:47:24
391,Kamenka,51.3223,42.7678,31.41,99,100,2.75,RU,2022-11-16 19:47:24
392,San Jose,37.3394,-121.895,68.05,27,20,5.99,US,2022-11-16 19:46:42
393,Fayaoue,-20.65,166.5333,78.76,70,100,7.52,NC,2022-11-16 19:47:24
394,Iqaluit,63.7506,-68.5145,2.93,78,75,8.05,CA,2022-11-16 19:47:25
395,Tomigusuku,26.185,127.675,71.37,83,86,13.8,JP,2022-11-16 19:47:25
396,Hauterive,46.0901,3.4459,57.96,76,97,13.09,FR,2022-11-16 19:47:26
397,Inhambane,-23.865,35.3833,73.38,78,20,3.44,MZ,2022-11-16 19:47:26
398,Morondava,-20.2833,44.2833,80.31,74,6,7.78,MG,2022-11-16 19:47:26
399,Isangel,-19.55,169.2667,75.31,78,83,3.44,VU,2022-11-16 19:47:26
400,Hamilton,39.1834,-84.5333,37.24,86,100,10.36,US,2022-11-16 19:42:50
401,Xai-Xai,-25.0519,33.6442,72.66,67,1,9.44,MZ,2022-11-16 19:47:27
402,Baykit,61.67,96.37,-0.89,98,100,3.24,RU,2022-11-16 19:42:59
403,Egvekinot,66.3167,-179.1667,29.07,99,100,7.83,RU,2022-11-16 19:47:27
404,Tahta,26.7693,31.5021,66.36,39,100,5.19,EG,2022-11-16 19:47:27
405,Lochwinnoch,55.7952,-4.6303,43.93,86,100,9.22,GB,2022-11-16 19:47:28
406,Taltal,-25.4,-70.4833,65.41,72,23,4.29,CL,2022-11-16 19:47:28
407,Vangaindrano,-23.35,47.6,72.63,80,98,9.04,MG,2022-11-16 19:47:28
408,Jiexiu,37.0244,111.9125,46.27,46,0,3.15,CN,2022-11-16 19:47:28
409,Umm Lajj,25.0213,37.2685,75.63,64,59,10.92,SA,2022-11-16 19:47:29
410,Berlevag,70.8578,29.0864,37.35,52,0,19.57,NO,2022-11-16 19:47:29
411,Puerto Montt,-41.4698,-72.9447,68.83,64,40,6.91,CL,2022-11-16 19:47:29
412,Akyab,20.15,92.9,73.54,75,69,6.4,MM,2022-11-16 19:47:30
